店舗名,市町,店舗所在地,店舗電話,店舗ＦＡＸ
ローソン 加賀西島店,加賀市,加賀市西島町チ16-1,,
ローソン 山中温泉口店,加賀市,加賀市山中温泉塚谷町イ２４３,,
ローソン 本津幡店,津幡町,河北郡津幡町字庄ト６５‐５,,
ローソン 小松大島町店,小松市,小松市大島町１７０‐２,,
ローソン 金沢押野小学校前店,金沢市,金沢市八日市２‐４５５,,
ローソン 白山竹松町店,白山市,白山市竹松町１０４８‐１,,
ローソン 金沢西泉店,金沢市,金沢市西泉４‐１２９‐１,,
ローソン 金沢片町店,金沢市,金沢市片町１‐６‐１３,,
ローソン 津幡横浜店,津幡町,河北郡津幡町字横浜ヘ４０‐７,,
ローソン 金沢神宮寺二丁目店,金沢市,金沢市神宮寺２‐１６‐２２,,
ローソン 白山倉光一丁目店,白山市,白山市倉光１‐１５７,,
ローソン 金沢玉鉾五丁目店,金沢市,金沢市玉鉾５‐３７,,
ローソン 能登総合病院店,七尾市,七尾市藤橋町ア部６‐１９,,
ローソン 金沢大友三丁目店,金沢市,金沢市大友３‐４７,,
ローソン 羽咋中央町店,羽咋市,羽咋市中央町サ１３０‐６,,
ローソン 金沢若宮町店,金沢市,金沢市若宮町ホ３０‐１,,
ローソン 金沢福久東店,金沢市,金沢市福久東１‐４６‐１,,
ローソン 津幡みずほ病院前店,津幡町,河北郡津幡町字潟端４５１‐１,,
ローソン 金沢泉野出町店,金沢市,金沢市泉野出町２‐７‐１,,
ローソン 能美湯谷町店,能美市,能美市湯谷町１１３‐１,,
３０４水芭蕉会朝市,金沢市,金沢市東原町の旧３０４国道沿い　東原駐車場マチオモイ向い,(076)257-6023,(076)257-6023
湯涌朝市組合,金沢市,金沢市湯涌荒屋町47（金沢湯涌みどりの里内）,(076)235-8033,(076)235-8032
“河合谷の郷”即売所,津幡町,河北郡津幡町上大田和１,(076)287-1001(代),(076)287-1550(代)
道の駅倶利伽羅塾,津幡町,河北郡津幡町竹橋西270番地,(076)288-8668,(076)288-8669
イオン御経塚店,野々市市,野々市市御経塚2丁目91番地,(076)269-0130,(076)269-0131
イオンスタイルかほく,かほく市,かほく市内日角タ25番,(076)289-1000,
イオン松任店,白山市,白山市平松町102－1,(076)274-8600,(076)274-8611
イオン金沢店,金沢市,金沢市福久2丁目58番地,(076)258-7517,(076)258-7500
イオン野々市南店,野々市市,野々市市上林4－747,(076)246-8124,(076)246-8238
イオン加賀の里店,加賀市,加賀市上河崎町47－1,(0761)72-8800,(0761)72-8888
仕出し弁当　開花亭,能美市,能美市三道山町チ16－2,(0761)58-5037,(0761)58-5209
道の駅すずなり,珠洲市,珠洲市野々江町シｰ15,(0768)82-4688,(0768)82-6360
能登ワインギャラリー,穴水町,鳳珠郡穴水町字旭ヶ丘り5番1,(0768)58-1577,(0768)58-1588
魚工房　旬,七尾市,七尾市鵜浦町9部38－2,(0767)58-1350,(0767)58-1350
フレッシュフード＆リカーDAIMARU,珠洲市,珠洲市野々江町メ-48,(0768)82-1155,(0768)82-6277
荒忠商店,白山市,白山市美川永代町甲233,(076)278-5021,(076)278-4936
吉市醤油店,白山市,白山市安吉町78,(076)275-0908,(076)275-8181
トギストア,志賀町,羽咋郡志賀町富来地頭町8-169番地,(0767)42-0137,
かくだストア,能登町,鳳珠郡能登町宇出津新149,(0768)62-0032,(0768)62-3399
牛乳村夢番地,白山市,白山市向島町760番地1,(076)274-3698,(076)274-3699
志んさ本舗,白山市,白山市白峰ロ166－3,(076)259-2030,(076)259-2561
まままんま工房,小松市,小松市問屋町29,(0761)23-3920,(0761)24-2156
越原甘清堂,白山市,白山市鶴来本町2丁目ワ122,(076)272-0305,(076)272-0305
鶴野味噌店,白山市,白山市白峰ロ51－1,(076)259-2124,
にわか工房,白山市,白山市三ツ屋野町ト3－7,(076)255-5930,(076)255-5931
長助,白山市,白山市釜清水町ち2－1,(076)254-2003,
くろゆりの里,白山市,白山市三宮町ニ105－1,(076)273-5123,(076)273-5123
汐井酒店,白山市,白山市鶴来新町タ90－2,(076)272-0013,(076)273-0013
和乃菓　ひろの,白山市,白山市鶴来大国町ホ88－1,(076)272-0313,(076)272-0313
ベルエポック,金沢市,金沢市粟崎町1丁目54－1,(076)238-1175,
アルビス安原中央店,金沢市,金沢市福増町南1265,,
アルビス野々市三納店,野々市市,野々市市三納1丁目77,,
アルビス小松城南店,小松市,小松市下牧町己1街区1,,
アルビス内灘店,内灘町,河北郡内灘町大根布1－8－1,,
アルビス杜の里店,金沢市,金沢市もりの里3－170,,
アルビス笠舞店,金沢市,金沢市笠舞1－23－25,,
アルビス泉が丘中央店,金沢市,金沢市泉が丘2－8－3,,
アルビス泉が丘サンピア店,金沢市,金沢市円光寺2－345,,
アルビス辰口店,能美市,能美市三ツ屋3－1,,
アルビス寺井店,能美市,能美市寺井町ロ90－1,,
アルビス高柳店,金沢市,金沢市高柳町二字63番地1,,
アルビス大友店,金沢市,金沢市大友2丁目234番地,,
アルビス明倫通り店,野々市市,野々市市堀内4丁目95,,
アルビス西南部店,金沢市,金沢市八日市出町840番地,,
アルビス田上店,金沢市,金沢市田上さくら3丁目40番地,,
アルビス畝田店,金沢市,金沢市畝田西3丁目603番地,,
アルビス小松幸町店,小松市,小松市幸町3丁目119,,
アルビス羽咋宝達志水店,宝達志水町,羽咋郡宝達志水町二口へ7番,,
アルビス北安田店,白山市,白山市北安田町23街区69番,,
菓子工房　西都　ＫＯＧＵＲＡ,金沢市,金沢市西都1丁目54,(076)255-0607,(076)255-0607
飯田彩り市場,珠洲市,珠洲市飯田町15部12－1,(0768)82-3700,(0768)82-1608
お菓子処　山口堂,小松市,小松市殿町1－57,(0761)22-2016,(0761)23-0362
コメヤ薬局鶴来本店,白山市,白山市鶴来本町2丁目ワ43番地,,
ドラッグストアコメヤ久安店,金沢市,金沢市久安2丁目235,,
ドラッグストアコメヤ安養寺店,白山市,白山市安養寺町ロ3－1,,
ファミリーマート＋ドラッグストアコメヤ御経塚店,野々市市,野々市市御経塚3丁目128番地,,
ドラッグストアコメヤ小立野台店,金沢市,金沢市小立野2丁目42－36,,
ドラッグストアコメヤ月橋店,白山市,白山市月橋町414番地,,
高尾コメヤ薬局,金沢市,金沢市高尾南3丁目17番地,,
山島台コメヤ薬局,白山市,白山市山島台6丁目1番地,,
県庁前コメヤ薬局,金沢市,金沢市西都1丁目62,,
水戸町コメヤ薬局,白山市,白山市鶴来水戸町ノ59－1,,
かわちコメヤ薬局,白山市,白山市河内町きりの里64番地,,
ドラッグストアコメヤ根上店,能美市,能美市大成町ト10番地,,
野々市三納コメヤ薬局,野々市市,野々市市三納2丁目155番地,,
ドラッグストアコメヤアピタ金沢店,金沢市,金沢市中村町10番20号アピタ金沢店内,,
ドラッグストアコメヤアピオシティ加賀店,加賀市,加賀市作見町ル25－1アピオシティ加賀内,,
白峰コメヤ薬局,白山市,白山市白峰ハ157番1地　白峰福祉複合施設カルテット内2Ｆ,,
ドラッグストアコメヤ泉店,金沢市,金沢市泉2丁目6番5号,,
ファミリーマート薬コメヤ金沢武蔵店,金沢市,金沢市下堤町35-1,,
吉野谷コメヤ薬局,白山市,白山市佐良ロ130番地,,
原清商店（はらせ加工場）,白山市,白山市美川永代町甲1－8,(076)278-2764,(076)278-3487
高尾商店,穴水町,鳳珠郡穴水町甲ソ-119,(0768)58-1234,(0768)58-1235
むらのもちや,能登町,鳳珠郡能登町柳田仁部72－2,(0768)76-1200,(0768)76-1548
安新,白山市,白山市美川永代町ヲ134番地,(076)278-4934(店舗),(076)278-4934
和菓子　あさお樹庵,羽咋市,羽咋市旭町エ1－1,(0767)22-0006,(0767)22-7948
洋菓子のお店　ファミーユ,金沢市,金沢市藤江町南3丁目168－13,(076)267-7877,(076)267-7877
パティスリー木のひげ,金沢市,金沢市八日市1丁目675,(076)242-3636,
道の駅　桜峠,能登町,鳳珠郡能登町字当目2-24-24,(0768)76-1518,(0768)76-1518
JAグリーンかほく　そくさいかん,津幡町,河北郡津幡町字舟橋253,(076)288-8400,(076)288-7955
ワイプラザグルメ館　輪島店,輪島市,輪島市宅田町41番地,(0768)22-8500,(0768)22-8499
能登おおぞら村穴水,穴水町,鳳珠郡穴水町字此木3－33－2,(0768)52-3810,(0768)52-0076
ｽｰﾊﾟｰﾎｰﾑｾﾝﾀｰヤマキシ川北店,川北町,能美郡川北町字三反田中216-1,(076)277-7550,(076)277-7551
白峰特産品販売施設　菜さい,白山市,白山市白峰ロ-64-3,(076)259-2588,(076)259-2588
逸味　潮屋　本店,金沢市,金沢市西金沢二丁目168-1,(076)240-7577,(076)249-7142
逸味　潮屋　金沢百番街店,金沢市,金沢市木ノ新保町1-1金沢百番街おみやげ館内,(076)222-0408,(076)249-7142
逸味　潮屋　近江町いちば店,金沢市,金沢市青草町88近江町いちば館1Ｆ,(076)223-0408,(076)249-7142
うしおや　ひがし茶屋街店,金沢市,金沢市東山1-7-9,(076)201-8408,(076)249-7142
美川のあさ市,白山市,白山市美川中町ロ221番地1美川コミュニティプラザ,(076)259-5893,(076)259-6893
JAグリーンセンターすず,珠洲市,珠洲市飯田町8の部56－2,(0768)82-2132,(0768)82-2798
ファミリーマート　わくなみや小橋店,金沢市,金沢市小橋町4-20,(076)252-1187,
ファミリーマート　しばはら杜の里店,金沢市,金沢市もりの里3-102,(076)262-1131,
ファミリーマート　軽海店,小松市,小松市軽海町ﾅ51-1,(0761)47-8808,
ファミリーマート　工大前店,野々市市,野々市市高橋町20-5,(076)294-1225,
ファミリーマート　七尾田鶴浜店,七尾市,七尾市田鶴浜町ﾘ74-2,(0767)68-8155,
ファミリーマート　窪四丁目店,金沢市,金沢市窪4-447,(076)243-1911,
ファミリーマート　金沢安原店,金沢市,金沢市中屋2丁目83番地,(076)269-1007,
ファミリーマート　金沢利屋町店,金沢市,金沢市利屋町る7番地,(076)257-6613,
ファミリーマート　野々市新庄六丁目店,野々市市,野々市市新庄6丁目403,(076)246-7117,
ファミリーマート　千代野ニュータウン店,白山市,白山市北安田西一丁目110,(076)274-7966,
ファミリーマート　七尾藤橋町店,七尾市,七尾市藤橋町申47-1,(0767)52-5471,
ファミリーマート　金沢みどり団地口店,金沢市,金沢市福増町北1053-2,(076)240-9112,
ファミリーマート　金沢新神田店,金沢市,金沢市新神田4丁目5番35号,(076)291-8013,
ファミリーマート　輪島横地町店,輪島市,輪島市横地町1-2-2,(0768)22-7717,
ファミリーマート　輪島塚田町店,輪島市,輪島市塚田町参部18番地4,(0768)22-2362,
ファミリーマート　志賀堀松店,志賀町,羽咋郡志賀町堀松七1番地14,(0767)32-3501,
ファミリーマート　金沢リファーレ店,金沢市,金沢市本町1丁目5番3号,(076)263-3591,
ファミリーマート　金沢土清水店,金沢市,金沢市土清水二丁目15番地,(076)229-8220,
ファミリーマート　羽咋高校前店,羽咋市,羽咋市東川原町柳橋18番地,(0767)22-2421,
ファミリーマート　新今浜インター店,宝達志水町,羽咋郡宝達志水町宿四75番地3,(0767)28-2710,
ファミリーマート　山中店,加賀市,加賀市山中温泉湯の出町ﾚ-14,(0761)78-1726,
ファミリーマート　鶴来店,白山市,白山市明島町西104番地2,(076)273-6066,
ファミリーマート　七尾津向店,七尾市,七尾市津向町ﾄ部106番地の1,(0767)54-8054,
ファミリーマート　金沢元菊店,金沢市,金沢市元菊町5番1号,(076)210-7015,
ファミリーマート　手取あおう店,能美市,能美市粟生町ﾈ50番地1,(0761)58-4414,
ファミリーマート　松任成町店,白山市,白山市新成四丁目235番,(076)274-8044,
ファミリーマート　金沢上安原店,金沢市,金沢市上安原南79番地,(076)249-2621,
ファミリーマート　津幡潟端店,津幡町,河北郡津幡町字潟端408番地,(076)289-2402,
ファミリーマート　能都宇出津店,能登町,鳳珠郡能登町宇出津ﾀ字12番地1,(0768)62-8099,
ファミリーマート　津幡中須加店,津幡町,河北郡津幡町中須加ろ26番地1,(076)289-1377,
ファミリーマート　能登門前店,輪島市,輪島市門前町清水3の54番地4,(0768)42-3204,
ファミリーマート　珠洲中央店,珠洲市,珠洲市上戸町北方い部52番地の1,(0768)82-8440,
ファミリーマート　能登柳田店,能登町,鳳珠郡能登町字天坂ろ19番地,(0768)76-2054,
ファミリーマート　金沢彦三店,金沢市,金沢市彦三町二丁目2番14号,(076)231-1055,
ファミリーマート　小松義仲店,小松市,小松市義仲町140番地,(0761)23-3545,
ファミリーマート　羽咋四柳店,羽咋市,羽咋市四柳町そ35番地1,(0767)26-8001,
ファミリーマート　金沢入江一丁目店,金沢市,金沢市入江1丁目148,(076)292-6033,
ファミリーマート　金沢木材団地店,金沢市,金沢市湊2丁目114番地25,(076)208-2893,
ファミリーマート　金沢疋田店,金沢市,金沢市疋田二丁目123番地,(076)258-2070,
ファミリーマート　金沢大桑店,金沢市,金沢市大桑二丁目42番地,(076)201-4567,
ファミリーマート　能美中町店,能美市,能美市中町ｿ18番地12,(0761)56-2627,
ファミリーマート　七尾飯川店,七尾市,七尾市飯川町け部64番地,(0767)57-6733,
ファミリーマート　金沢専光寺町店,金沢市,金沢市専光寺町ﾚ4番地10,(076)266-5448,
ファミリーマート　輪島中段店,輪島市,輪島市中段町長口3番地2,(0768)23-6009,
ファミリーマート　能登空港インター店,輪島市,輪島市三井町洲衛ろ103番地1,(0768)26-8033,
ファミリーマート　小松城南店,小松市,小松市城南町24番地1,(0761)24-4272,
ファミリーマート　七尾能登島店,七尾市,七尾市能登島向田町五級96番地14,(0767)84-8040,
ファミリーマート　能登松波店,能登町,鳳珠郡能登町字松波弐六字40番地1,(0768)72-0410,
ファミリーマート　小松今江町三丁目店,小松市,小松市今江町三丁目801番地,(0761)25-1248,
ファミリーマート　珠洲宝立町店,珠洲市,珠洲市宝立町金峰寺未字14番地1,(0768)84-1872,
ファミリーマート　小松園町東店,小松市,小松市園町二42番地1,(0761)25-1020,
ファミリーマート　金沢二万堂店,金沢市,金沢市西泉一丁目1番地2,(076)201-4344,
ファミリーマート　金沢粟崎店,金沢市,金沢市粟崎町三丁目297番地1,(076)239-9044,
ファミリーマート　七尾中島町店,七尾市,七尾市中島町中島丙部29番地1,(0767)66-1657,
ファミリーマート　羽咋釜屋町店,羽咋市,羽咋市釜屋町ヰ153番地1,(0767)22-8676,
ファミリーマート　志賀町ますほ店,志賀町,羽咋郡志賀町里本江乙179番地,(0767)42-8030,
ファミリーマート　新小松インター店,小松市,小松市長崎町四丁目135番地,(0761)25-1052,
ファミリーマート　かほくななくぼ店,かほく市,かほく市七窪ﾊ44番地1,(076)283-3482,
ファミリーマート　金沢稚日野店,金沢市,金沢市稚日野町北19番地1,(076)266-5044,
ファミリーマート　珠洲飯田店,珠洲市,珠洲市野々江町ｼの部85番地の1,(0768)82-2641,
ファミリーマート　鹿島能登部店,中能登町,鹿島郡中能登町能登部上ｦ部94番地,(0767)72-7440,
ファミリーマート　加賀箱宮町店,加賀市,加賀市箱宮町ム138番地,(0761)75-8699,
ファミリーマート　小松千木野店,小松市,小松市千木野町と93番地7,(0761)25-4301,
ファミリーマート　七尾千野店,七尾市,七尾市千野町二部36番地,(0767)57-2770,
ファミリーマート　金沢諸江通り店,金沢市,金沢市北安江1丁目14番1号,(076)210-5060,
ファミリーマート　能美徳久店,能美市,能美市徳久町子137番地,(0761)52-8711,
ファミリーマート　小松矢田野店,小松市,小松市矢田野町へ21番地1,(0761)44-6670,
ファミリーマート　かほくバイパス店,かほく市,かほく市横山ｲ28番地,(076)285-2831,
ファミリーマート　金沢御影店,金沢市,金沢市御影町7番15号,(076)241-4046,
ファミリーマート　志賀町土田店,志賀町,羽咋郡志賀町矢田四29番地2,(0767)37-8020,
ファミリーマート　本津幡駅前店,津幡町,河北郡津幡町字清水ﾁ374番地4,(076)288-8876,
ファミリーマート　金沢高畠一丁目店,金沢市,金沢市高畠一丁目323番地,(076)292-4003,
ファミリーマート　輪島中央店,輪島市,輪島市河井町弐参部22番地28,(0768)22-2307,
ファミリーマート　能美五間堂店,能美市,能美市五間堂町戊43番地1,(0761)58-8599,
ファミリーマート　七尾矢田新町店,七尾市,七尾市矢田新町ﾊ31番地1,(0767)53-5851,
ファミリーマート　白山曽谷町店,白山市,白山市曽谷町へ130番地4,(076)273-6844,
ファミリーマート　能美佐野店,能美市,能美市佐野町ハ3番地,(0761)58-7499,
ファミリーマート　穴水インター店,穴水町,鳳珠郡穴水町字此木八42番地,(0768)52-1138,
ファミリーマート　珠洲野々江店,珠洲市,珠洲市野々江町ﾜの部66番地1,(0768)82-2370,
ファミリーマート　かほく松浜店,かほく市,かほく市松浜ｲ11番地3,(076)285-1351,
ファミリーマート　白山美川中町店,白山市,白山市美川中町ｲ43番地1,(076)278-8917,
ファミリーマート　小松若杉町店,小松市,小松市若杉町一丁目68番地,(0761)25-3833,
ファミリーマート　輪島河井店,輪島市,輪島市河井町六部88番地7,(0768)23-6030,
ファミリーマート　輪島宅田店,輪島市,輪島市宅田町157番地,(0768)23-6020,
ファミリーマート　七尾国分町店,七尾市,七尾市国分町ｼ7番地1,(0767)53-1334,
ファミリーマート　川北町役場前店,川北町,能美郡川北町字壱ﾂ屋172番地3,(076)277-9901,
ファミリーマート　白山藤木店,白山市,白山市藤木町479番地1,(076)274-8180,
ファミリーマート　羽咋千里浜インター店,羽咋市,羽咋市兵庫町ﾖ18番地7,(0767)22-2464,
ファミリーマート　加賀インター前店,加賀市,加賀市熊坂町ｵ220番地,(0761)72-8044,
ファミリーマート　金沢松島南店,金沢市,金沢市新保本四丁目65番地7,(076)214-1044,
ファミリーマート　堅田店,金沢市,金沢市堅田町甲75ｰ1,(076)257-7018,
ファミリーマート　辰口丘陵公園前店,能美市,能美市辰口町642-1,(0761)51-6135,
ファミリーマート　野々市工大前店,野々市市,野々市市高橋町62-1,(076)294-9533,
ファミリーマート　金沢額新保店,金沢市,金沢市額新保2丁目284,(076)298-8402,
ファミリーマート　金沢専光寺浜店,金沢市,金沢市専光寺町ﾆ2-1,(076)268-6261,
ファミリーマート　野々市扇が丘店,野々市市,野々市市扇が丘33番13号,(076)246-6203,
ファミリーマート　小松大領店,小松市,小松市大領町ﾛ216,(0761)25-1070,
ファミリーマート　金沢西念二丁目店,金沢市,金沢市西念2丁目27-17,(076)224-4231,
ファミリーマート　加賀作見店,加賀市,加賀市作見町ﾆ57番地1,(0761)73-6353,
ファミリーマート　金沢星稜前店,金沢市,金沢市小坂町南538,(076)252-5224,
ファミリーマート　金沢田上店,金沢市,金沢市田上の里2丁目105番地,(076)233-5250,
ファミリーマート　津幡北中条店,津幡町,河北郡津幡町北中条4丁目83,(076)289-8080,
ファミリーマート　金沢菊川店,金沢市,金沢市本多町一丁目18番3号,(076)210-3955,
ファミリーマート　金沢高柳店,金沢市,金沢市高柳町二字10番1,(076)253-8299,
ファミリーマート　加賀片山津店,加賀市,加賀市片山津町巳44番地,(0761)75-6788,
ファミリーマート　加賀分校店,加賀市,加賀市分校町は77番地1,(0761)74-4527,
ファミリーマート　内灘大学通り店,内灘町,河北郡内灘町字大根布六丁目101番,(076)286-2628,
ファミリーマート　金沢松村三丁目店,金沢市,金沢市松村三丁目448番地,(076)266-5070,
ファミリーマート　金沢乙丸町店,金沢市,金沢市神宮寺3丁目11番15号,(076)252-1077,
ファミリーマート　金沢福久店,金沢市,金沢市福久町ﾎ61番地1,(076)257-9433,
ファミリーマート　金沢幸町店,金沢市,金沢市幸町13番28号,(076)224-4210,
ファミリーマート　金沢朝霧台店,金沢市,金沢市朝霧台二丁目14番地,(076)263-2623,
ファミリーマート　金沢本町二丁目店,金沢市,金沢市本町2丁目11番7号金沢ﾌｺｸ生命駅前ﾋﾞﾙ1階,(076)210-4844,
ファミリーマート　金沢小立野店,金沢市,金沢市小立野3丁目27番22号,(076)223-3931,
ファミリーマート　白山安養寺店,白山市,白山市安養寺町ﾛ38番地1,(076)273-9013,
ファミリーマート　金沢問屋町二丁目店,金沢市,金沢市問屋町二丁目15番2,(076)237-7324,
ファミリーマート　能美大成南店,能美市,能美市大成町ﾄ32番地1,(0761)55-8045,
ファミリーマート　白山福留店,白山市,白山市福留町530番地1,(076)277-7047,
ファミリーマート　穴水東町店,穴水町,鳳珠郡穴水町字川島ｱ16番地,(0768)52-2683,
ファミリーマート　金沢泉野店,金沢市,金沢市泉野町5丁目6番14号,(076)244-6158,
ファミリーマート　内灘鶴ヶ丘店,内灘町,河北郡内灘町字鶴ｹ丘四丁目122番地,(076)286-8180,
ファミリーマート　小松北浅井店,小松市,小松市北浅井町4番,(0761)22-2510,
ファミリーマート　小松向本折町店,小松市,小松市向本折町ﾊ36番地,(0761)23-5180,
ファミリーマート　白山村井店,白山市,白山市村井町44番地1,(076)274-2070,
ファミリーマート　金沢けやき通り店,金沢市,金沢市駅西本町1丁目15番18号ﾄﾘｱｽ1F,(076)222-3620,
ファミリーマート　金沢山科一丁目店,金沢市,金沢市山科一丁目6番57号,(076)242-0505,
ファミリーマート　尼御前ＳＡ下り店,加賀市,加賀市美岬町尼ｺﾞｼﾞ3-2-1,(0761)72-1170,
ファミリーマート　金沢無量寺店,金沢市,金沢市無量寺五丁目69番地1号,(076)267-1160,
ファミリーマート　金沢千木町店,金沢市,金沢市千木町ﾙ55,(076)257-0177,
ファミリーマート　小松沖町店,小松市,小松市沖町周辺区画整理事業施行地区内1街区16,(0761)23-9181,
ファミリーマート　金沢増泉三丁目店,金沢市,金沢市増泉3丁目15番19号,(076)241-2127,
ファミリーマート　羽咋今浜店,宝達志水町,羽咋郡宝達志水町今浜ﾄ176-1,(0767)28-8176,
ファミリーマート　金沢広岡三丁目店,金沢市,金沢市広岡3丁目3番47号,(076)222-3350,
ファミリーマート　金沢小坂町店,金沢市,金沢市小坂町北165番地2,(076)252-0260,
ファミリーマート　穴水大町店,穴水町,鳳珠郡穴水町字大町ろ11番地,(0768)52-8288,
ファミリーマート　野々市本町六丁目店,野々市市,野々市市本町六丁目23番15号,(076)248-0511,
ファミリーマート　金沢額谷三丁目店,金沢市,金沢市額谷3丁目46番地,(076)298-7328,
ファミリーマート　金沢入江店,金沢市,金沢市入江3丁目54番地,(076)291-2011,
ファミリーマート　白山中町店,白山市,白山市中町49番地1,(076)275-1227,
ファミリーマート　七尾白馬店,七尾市,七尾市白馬町9番地1,(0767)57-1370,
ファミリーマート　金沢上堤町店,金沢市,金沢市上堤町1-15金沢上堤町ﾋﾞﾙ1F,(076)233-1280,
ファミリーマート　金沢八田町店,金沢市,金沢市八田町東896番地1,(076)257-1820,
ファミリーマート　金沢諸江町店,金沢市,金沢市諸江町下丁46番1,(076)238-2055,
ファミリーマート　金沢金石東店,金沢市,金沢市金石東3丁目2-5,(076)266-1211,
ファミリーマート　小松長崎町店,小松市,小松市長崎町3丁目106番1他2筆,(0761)23-5017,
ファミリーマート　穴水川島店,穴水町,鳳珠郡穴水町字川島ｷ102番地3,(0768)52-1130,
ファミリーマート　金沢木曳野店,金沢市,金沢市木曳野3丁目23番地,(076)266-5020,
ファミリーマート　コメヤ薬局御経塚店,野々市市,野々市市御経塚3丁目128,(076)269-3000,
ファミリーマート　宝達志水店,宝達志水町,羽咋郡宝達志水町子浦甲32番,(0767)29-2040,
ファミリーマート　小松能美店,小松市,小松市能美町ｲ1番1,(0761)22-2711,
ファミリーマート　小松三谷町店,小松市,小松市三谷町あ168番1,(0761)22-2177,
ファミリーマート　白山中奥町店,白山市,白山市中奥町116番,(076)274-8515,
ファミリーマート　金沢旭町三丁目店,金沢市,金沢市旭町3丁目3番11号,(076)223-2050,
ファミリーマート　加賀伊切町店,加賀市,加賀市伊切町乙42-1,(0761)74-2722,
ファミリーマート　かほく七塚店,かほく市,かほく市浜北ｲ12番4 他5筆,(076)283-5010,
ファミリーマート　河北内灘店,内灘町,河北郡内灘町字鶴ｹ丘1丁目303番地,(076)286-2360,
ファミリーマート　金沢松村店,金沢市,金沢市松村3-543,(076)266-2306,
ファミリーマート　加賀加茂町店,加賀市,加賀市加茂町116番2,(0761)76-8205,
ファミリーマート　金沢野田店,金沢市,金沢市野田二丁目14番地,(076)243-1033,
ファミリーマート　野々市矢作二丁目店,野々市市,野々市市矢作2丁目128番1,(076)294-2559,
ファミリーマート　小松額見町店,小松市,小松市額見町工業団地4番4,(0761)44-6118,
ファミリーマート　加賀大聖寺南町店,加賀市,加賀市大聖寺南町ﾛ2番地1,(0761)72-8002,
ファミリーマート　加賀南郷町店,加賀市,加賀市南郷町ﾚ70番,(0761)72-8022,
ファミリーマート　志賀高浜店,志賀町,羽咋郡志賀町高浜町ﾔ16番地1,(0767)32-6003,
ファミリーマート　志賀富来店,志賀町,羽咋郡志賀町富来領家町甲60番地1,(0767)42-8322,
ファミリーマート　内灘向粟崎店,内灘町,河北郡内灘町字向粟崎1丁目430番地,(076)208-2080,
ファミリーマート　金沢石引店,金沢市,金沢市石引一丁目13番32号,(076)210-5007,
ファミリーマート　金沢涌波店,金沢市,金沢市涌波1丁目6番27号,(076)210-7035,
ファミリーマート　かほく高松中央店,かほく市,かほく市高松ｳ1番1,(076)281-8031,
