店舗名,市町,店舗所在地,店舗電話,店舗ＦＡＸ
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢石川県庁前,金沢市,金沢市鞍月東2丁目14,(076)237-1071,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢鞍月４丁目,金沢市,金沢市鞍月4-181,(076)267-6337,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　ＫＯＹＯ石川県立中央病院,金沢市,金沢市鞍月東2-1,(076)239-0181,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢駅西本町３丁目,金沢市,金沢市駅西本町3-15-20,(076)224-4570,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢円光寺本町,金沢市,金沢市円光寺本町240,(076)244-7119,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢横川６丁目,金沢市,金沢市横川6-184-1,(076)241-3252,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　KOYO金沢医療センター,金沢市,金沢市下石引町1-1,(076)264-9083,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢吉原町,金沢市,金沢市吉原町ハ26番1,(076)257-5530,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢久安２丁目,金沢市,金沢市久安3-400,(076)241-6855,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢京町,金沢市,金沢市京町2-26,(076)251-7118,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢近岡町,金沢市,金沢市近岡町52-1,(076)238-7765,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢桂町,金沢市,金沢市桂町イ35-1,(076)268-7277,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢古府１丁目,金沢市,金沢市古府1-54,(076)249-6577,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢古府３丁目,金沢市,金沢市古府3-33,(076)240-6697,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢高岡町,金沢市,金沢市高岡町3-20,(076)224-7785,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢三ツ屋町,金沢市,金沢市三ツ屋町ロ42-1,(076)237-6401,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢三口新町３丁目,金沢市,金沢市三口新町3丁目614,(076)260-5107,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢中央郵便局前,金沢市,金沢市三社町3-21,(076)222-4022,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢三池,金沢市,金沢市三池栄町293,(076)253-3013,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢三馬３丁目,金沢市,金沢市三馬3-250,(076)244-8515,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢寺中町,金沢市,金沢市寺中町ホ16-1,(076)266-1097,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢諸江町,金沢市,金沢市諸江町中丁163-4,(076)221-2009,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢小金町,金沢市,金沢市小金町9-17,(076)251-2202,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢小坂町西,金沢市,金沢市小坂町西116,(076)252-7110,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　昭和町,金沢市,金沢市昭和町16番1号,(076)260-7317,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢松村４丁目,金沢市,金沢市松村4丁目370,(076)267-5680,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢松村町,金沢市,金沢市松村町ヌ-45,(076)267-6036,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢神谷内町,金沢市,金沢市神谷内町ニ61,(076)253-0775,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢西泉２丁目,金沢市,金沢市西泉2-116-1,(076)247-7118,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢専光寺町,金沢市,金沢市専光寺町レ4-2,(076)266-0300,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢泉野出町１丁目,金沢市,金沢市泉野出町1-16-17,(076)241-1170,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢泉野町,金沢市,金沢市泉野町1-227-1,(076)241-3810,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢浅野本町,金沢市,金沢市浅野本町ロ171-1,(076)253-3707,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢袋町,金沢市,金沢市袋町5-8,(076)260-7558,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢大額３丁目,金沢市,金沢市大額3-236,(076)298-0710,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　大桑２丁目,金沢市,金沢市大桑2丁目129番地,(076)247-3570,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　大手町,金沢市,金沢市大手町173番地,(076)223-3773,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　池田町,金沢市,金沢市池田町4番丁6-3,(076)223-5576,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　直江町,金沢市,金沢市直江町イ239番地,(076)238-7717,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢入江１丁目,金沢市,金沢市入江1-202,(076)291-0105,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢八日市５丁目,金沢市,金沢市八日市5-429,(076)249-7705,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢福増町,金沢市,金沢市福増町北1382-1,(076)269-0078,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢平和町,金沢市,金沢市平和町2-96,(076)245-7377,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢米泉１０丁目,金沢市,金沢市米泉町10-39-10,(076)249-7502,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢米泉８丁目,金沢市,金沢市米泉町8-90,(076)247-7711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢片町１丁目,金沢市,金沢市片町１丁目4-16,(076)224-7110,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢片町中央,金沢市,金沢市片町１丁目5-15,(076)264-3882,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢保古３丁目,金沢市,金沢市保古3-37,(076)269-4412,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢芳斉２丁目,金沢市,金沢市芳斉2丁目354,(076)221-7113,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢北安江４丁目,金沢市,金沢市北安江4-11-27,(076)221-7110,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢問屋町２丁目,金沢市,金沢市問屋町2-84-1,(076)237-2560,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢矢木２丁目,金沢市,金沢市矢木2-212,(076)240-1665,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢薬師堂,金沢市,金沢市薬師堂町イ101,(076)224-0711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　金沢有松５丁目,金沢市,金沢市有松5-45-1,(076)247-8780,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　かほく高松インター,かほく市,かほく市高松ア21-1,(076)281-0255,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　かほく長柄町,かほく市,かほく市高松ロ268-1,(076)282-5611,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　かほく白尾インター,かほく市,かほく市白尾ル14-3,(076)283-2205,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　かほく白尾,かほく市,かほく市白尾ロ49-1,(076)283-7790,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　羽咋石野町,羽咋市,羽咋市石野町イ55-1,(0767)22-7802,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　羽咋千里浜インター,羽咋市,羽咋市兵庫町午4番6,(0767)22-2070,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀河南,加賀市,加賀市河南町167,(076)176-0051,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀作見町,加賀市,加賀市作見町ニ27,(0761)72-6627,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀別所口,加賀市,加賀市山代温泉南町18番1,(0761)77-4775,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀山代温泉入口,加賀市,加賀市山代温泉北部3丁目47,(0761)77-3070,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀新保町,加賀市,加賀市新保町ケ8-4,(0761)74-5250,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀市役所前,加賀市,加賀市大聖寺東町4-16,(0761)72-5057,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　加賀分校,加賀市,加賀市分校町フ93-1,(076)174-7555,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　津幡横浜,津幡町,河北郡津幡町字横浜い147-2,(076)288-7511,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　津幡太田,津幡町,河北郡津幡町字太田31-1,(076)288-2670,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　内灘白帆台,内灘町,河北郡内灘町白帆台2-1,(076)286-5112,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　中能登羽坂,中能登町,鹿島郡中能登町羽坂の部15番地1,(0767)74-0077,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　中能登町徳前,中能登町,鹿島郡中能登町徳前の部10番地1,(0767)76-0083,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾古府町,七尾市,七尾市古府町る3-1,(0767)53-3875,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾国分町,七尾市,七尾市国分町ナ49番,(0767)52-7113,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾小島町,七尾市,七尾市小島町ヘ130-4,(0767)52-0789,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾常盤町,七尾市,七尾市常盤町6番4,(0767)53-0711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾和倉温泉,七尾市,七尾市石崎町香島1-23-1,(0767)62-1267,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾大田,七尾市,七尾市大田町108-14-1,(0767)52-2116,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾本府中,七尾市,七尾市本府中町ヲ25-1,(0767)52-2208,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾城山センター,七尾市,七尾市矢田町25号雉子曽1-1,(0767)53-5007,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　七尾和倉和歌崎,七尾市,七尾市和倉町和歌崎7番3,(0767)62-0711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松園町,小松市,小松市園町ハ188-1,(0761)24-2307,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松串茶屋町,小松市,小松市串茶屋町い143-2,(076)176-0051,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松今江３丁目,小松市,小松市今江町3丁目404番,(0761)23-2533,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松矢崎町,小松市,小松市今江町ツ121-5,(076)124-5010,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松佐々木,小松市,小松市佐々木町139,(0761)47-1722,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松インター,小松市,小松市小島町ル32-1,(076)121-2224,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松大島町,小松市,小松市大島町丙162-8,(076)121-1077,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松長田町,小松市,小松市長田町ロ33-4,(076)121-2275,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松島町,小松市,小松市島町ヲ1-1,(076)143-3771,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松日の出町２丁目,小松市,小松市日の出町2丁目101,(0761)22-1523,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　小松矢田野町,小松市,小松市矢田野町へ104,(0761)44-3277,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　川北橘,川北町,能美郡川北町橘オ51番1,(076)277-2828,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美粟生,能美市,能美市粟生町ソ15番地,(0761)57-2170,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美五間堂,能美市,能美市五間堂町乙80-1,(0761)55-0717,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美山田町,能美市,能美市山田町15-1,(0761)51-6110,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美大長野町,能美市,能美市大成町ﾄ32番地1大長野町ト80-1,(0761)57-1139,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美大浜町,能美市,能美市大浜町ク56-5,(0761)55-5911,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美辰口,能美市,能美市辰口町979－2,(0761)51-7051,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　能美福島町,能美市,能美市福島町ル28番1,(0761)55-5770,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山安養寺,白山市,白山市安養寺町ト64番1,(076)273-2617,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山横江町,白山市,白山市横江町1160-1,(076)274-6477,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山宮永,白山市,白山市宮永町311-1,(076)275-7112,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山五歩市町,白山市,白山市五歩市町364-1,(076)275-3571,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　美川インター,白山市,白山市鹿島町2-50-1,(076)278-2882,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　松任石川中央病院,白山市,白山市倉光3-8,(076)276-2836,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山村井町,白山市,白山市村井町680-1,(076)275-9711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山中成２丁目,白山市,白山市中成2-99,(076)276-5033,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　鶴来白山町,白山市,白山市白山町196-1,(076)273-3110,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山八ツ矢町,白山市,白山市八ツ矢町617-1,(076)276-7116,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山平松町,白山市,白山市平松町109－1,(076)274-5101,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　白山北安田南,白山市,白山市北安田町5303,(076)275-5578,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市押野１丁目,野々市市,野々市市押野1-376,(076)294-6671,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市押野２丁目,野々市市,野々市市押野2-85,(076)246-6711,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市下林３丁目,野々市市,野々市市下林3-290,(076)294-7776,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市高橋町,野々市市,野々市市高橋町19－19,(076)246-7474,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市三日市,野々市市,野々市市三日市町318-1,(076)294-7210,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市住吉,野々市市,野々市市住吉町145-1,(076)248-7113,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市上林４丁目,野々市市,野々市市上林4丁目366,(076)294-7712,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市新庄２丁目,野々市市,野々市市新庄2-248,(076)294-1270,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市扇が丘,野々市市,野々市市扇が丘531,(076)248-5066,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市太平寺３丁目,野々市市,野々市太平寺3-186-3,(076)294-7119,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市二日市,野々市市,野々市市二日市1-15,(076)246-5512,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市本町６丁目,野々市市,野々市市本町6-10-30,(076)246-0021,
ｾﾌﾞﾝｲﾚﾌﾞﾝ　野々市矢作北,野々市市,野々市市矢作4-12,(076)248-0380,
四十萬谷本舗　本店,金沢市,金沢市弥生1-17-28,(076)241-3122,
四十萬谷本舗　エムザ店,金沢市,金沢市武蔵町15-1　名鉄エムザ地下1階,(076)260-2405,
四十萬谷本舗　アトリオ店,金沢市,金沢市香林坊1-1-1　アトリオ地下1階,(076)220-1068,
四十萬谷本舗　百番街あんと店,金沢市,金沢市広岡町ロ-1　金沢駅百番街あんと内,(076)260-3737,
四十萬谷本舗　金沢南店,野々市市,野々市市上林5－5,(076)248-8090,
産直館　織姫市場,中能登町,鹿島郡中能登町井田ぬ部10番地1（道の駅「織姫の里なかのと」内）,(0767)76-8000,(0767)76-8001
スギヨファーム直売所,七尾市,七尾市府中町員外27-1,(0767)54-0831,(0767)52-2571
奥能登山海市場,七尾市,七尾市中島町田岸ソ1番地8,(0767)78-1021,(0767)78-1022
中出精肉店,小松市,小松市龍助町1,(0761)22-3171,(0761)24-1911
